"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000167",58.4152792259787,0.15408832788244,0.152558199392364,1.01002980171613,0.312481012189764,0.993237435802642
"ENSMUSG00000000168",1577.99752780965,-0.206601080307906,0.0793051266775792,-2.60514154586572,0.00918363118036849,0.174950585292031
"ENSMUSG00000000171",831.690283351288,-0.149483100091291,0.08728411956445,-1.71260363096077,0.0867854848546153,0.67108118221623
"ENSMUSG00000000182",13.5650331119495,0.265577289228397,0.133974252025602,1.98230096614121,0.0474455659704784,0.489172433487242
"ENSMUSG00000000184",942.910439656713,0.435289236727417,0.0920552263622339,4.7285662523339,2.26110845855125e-06,0.000190127775484936
"ENSMUSG00000000194",724.906325508454,-0.0419852925849441,0.0928022735225314,-0.452416637990561,0.650968863106413,0.993237435802642
"ENSMUSG00000000197",2050.72120548801,-0.110443335591343,0.0846900649797648,-1.30408845025366,0.19220342639218,0.918799053046326
"ENSMUSG00000000202",134.289154999252,0.1942003650287,0.135710654773993,1.43098834319319,0.152433555988941,0.845619211685783
"ENSMUSG00000000204",0.931083559909657,-0.0438759103515587,0.0450028415542616,-0.974958665635723,0.329580763766395,0.993237435802642
"ENSMUSG00000000214",92.5305988143465,0.0383649413479046,0.146252613332922,0.262319697909074,0.793074976875881,0.993237435802642
"ENSMUSG00000000215",1.07375573504548,0.0212276100395453,0.0522480320192591,0.406285351220896,0.684532947476214,0.993237435802642
"ENSMUSG00000000216",3.11557026283177,0.107885296231899,0.0824316928642118,1.30878418825653,0.190607464442029,0.916547235758546
"ENSMUSG00000000223",2015.72019404198,-0.0325894684401948,0.0787262710066591,-0.413959254305823,0.678903947414267,0.993237435802642
"ENSMUSG00000000244",1.97682488315534,-0.0361462099559802,0.0688797098361579,-0.524772970762509,0.59974102346882,0.993237435802642
"ENSMUSG00000000247",478.17772999911,0.157285955337567,0.109181139306443,1.44059639180084,0.1496987403846,0.841166544504675
"ENSMUSG00000000248",0.285108568862717,0.00973177374419441,0.0274478997395038,0.354554404400864,0.722923439640338,0.993237435802642
"ENSMUSG00000000253",342.750193594634,0.160256800496137,0.119758471494014,1.33816671586484,0.180842096492564,0.90470925893069
"ENSMUSG00000000263",127.792225981593,-0.114655878175919,0.1401462556402,-0.818115886522698,0.413291018365605,0.993237435802642
"ENSMUSG00000000266",683.394226248317,-0.0012221699051557,0.0913407643198302,-0.013380333679673,0.98932435688887,0.997275300977601
"ENSMUSG00000000275",114.56138700814,0.0162498980662382,0.139861905648518,0.116185304289184,0.907505683349586,0.993237435802642
"ENSMUSG00000000276",2040.00046968309,0.042824625292775,0.0860907431937486,0.497435888041964,0.618881703151862,0.993237435802642
"ENSMUSG00000000278",228.876376145292,0.33138107277549,0.121008498074693,2.73849422187641,0.0061721245005477,0.131049272213134
"ENSMUSG00000000282",522.922845637173,0.102847828583763,0.101301578113713,1.01526383397812,0.309980079206461,0.993237435802642
"ENSMUSG00000000290",38.4850617843648,-0.0518127552412935,0.154753000354577,-0.334809374439125,0.737768888477494,0.993237435802642
"ENSMUSG00000000295",133.121493475856,-0.0548031729759355,0.137035499501671,-0.399919533078853,0.689215784861788,0.993237435802642
"ENSMUSG00000000296",299.975244077263,-0.0190624484086647,0.114954183473613,-0.165826486976356,0.868293501108533,0.993237435802642
