"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000000958",19.6267975513942,-0.0133813340942805,0.14790076101793,-0.0904750861468406,0.927909691117529,0.994309587452224,"Slc7a7"
"ENSMUSG00000000959",496.526369297607,0.0545683151667136,0.101775148410885,0.536165419738925,0.591844230346529,0.994309587452224,"Oxa1l"
"ENSMUSG00000000976",348.490472122932,0.0750991898120137,0.109750416336123,0.684272482229259,0.493803119974013,0.994309587452224,"Heatr6"
"ENSMUSG00000000982",7.57218954532175,0.0623022458164827,0.109525759591651,0.568836464122836,0.569467126276566,0.994309587452224,"Ccl3"
"ENSMUSG00000000983",7.61338078397124,0.103044148751216,0.118494400222523,0.869611969491445,0.384512494350388,0.994309587452224,"Wfdc18"
"ENSMUSG00000001014",2.89125200707607,0.0102951408504285,0.0811839511423751,0.126812512886612,0.899088791846738,0.994309587452224,"Icam4"
"ENSMUSG00000001016",1646.90176540764,0.0162466953081395,0.0879913688547485,0.184639647269935,0.85351168654356,0.994309587452224,"Ilf2"
"ENSMUSG00000001017",1244.74722887122,-0.0558548392663912,0.103805615531199,-0.538071461554061,0.590527713924756,0.994309587452224,"Chtop"
"ENSMUSG00000001018",922.072274064926,-0.133126113238918,0.0855652792482981,-1.55584267834393,0.119745506762301,0.746284512673601,"Snapin"
"ENSMUSG00000001020",11.746614817612,-0.0558819498625093,0.132855087944416,-0.420623332738972,0.674030152963055,0.994309587452224,"S100a4"
"ENSMUSG00000001021",2.89761986445931,0.0370433219257799,0.0800704734056106,0.462633981669256,0.643626746694671,0.994309587452224,"S100a3"
"ENSMUSG00000001023",1.66058425232312,-0.0327554270044192,0.0603512071575126,-0.542746840488703,0.587304118938029,0.994309587452224,"S100a5"
"ENSMUSG00000001025",93.8547121261601,0.0354027825611507,0.150753884132062,0.234838278064779,0.814334256791597,0.994309587452224,"S100a6"
"ENSMUSG00000001027",1.05616510691961,-0.0564650429815102,0.0475673280560383,-1.18705517608619,0.235205857295012,0.946665915560287,"Scn4a"
